Unnamed: 0,Título,Ingredientes,Preparacion,NER,Imagen
0,Galletas de nuez sin hornear,1 taza de azúcar moreno compacto&1/2 taza de leche evaporada&1/2 cucharadita de vainilla&1/2 taza de nueces picadas (nueces pecanas)&2 cucharadas de mantequilla o margarina&3 1/2 tazas de galletas de arroz trituradas en trozos pequeños,"En una cacerola pesada de 2 cuartos, mezcla el azúcar moreno, las nueces, la leche evaporada y la mantequilla o margarina.&Revuelve a fuego medio hasta que la mezcla hierva por toda la superficie.&Hierve y revuelve durante 5 minutos más. Retira del fuego.&Añade la vainilla y los cereales; mezcla bien.&Usando 2 cucharas, forma 30 montones en papel encerado.&Deja reposar hasta que estén firmes, aproximadamente 30 minutos.",azúcar moreno&leche&vainilla&nueces&mantequilla&galletas de arroz trituradas en trozos pequeños,https://img-global.cpcdn.com/recipes/a864edab04e8199b/1360x964cq70/galletas-de-nuez-sin-horno-foto-principal.webp
1,Pollo a la Jewell Ball,"1 pequeño frasco de carne picada, cortada en trozos&4 pechugas de pollo deshuesadas&1 lata de sopa de champiñones en crema&1 cartón de crema agria","Coloca la carne picada en el fondo de una fuente para horno.&Coloca el pollo encima de la carne.&Mezcla la sopa y la crema; vierte sobre el pollo. Hornea, sin tapar, a 275°F durante 3 horas.",carne picada&pechugas de pollo&sopa de champiñones en crema&crema agria,https://i.pinimg.com/474x/51/79/9e/51799eb45f9d412a0881c928c4c696bb--alkaline-foods-rice-ball.jpg
2,Maíz cremoso,"2 paquetes (16 oz.) de maíz congelado&1 paquete (8 oz.) de queso crema, en cubos&1/3 taza de mantequilla, en cubos&1/2 cucharadita de ajo en polvo&1/2 cucharadita de sal&1/4 de cucharadita de pimienta","En una olla de cocción lenta, combina todos los ingredientes. Cubre y cocina a fuego lento durante 4 horas o hasta que esté caliente y el queso se derrita. Revuelve bien antes de servir. Rinde 6 porciones.",maíz congelado&queso crema&mantequilla&ajo en polvo&sal&pimienta,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1719-diabetic-sweet-creamy-corn_shutterstock1217417338_12920_3885281428.jpg
3,Pollo divertido,1 pollo entero grande&2 latas (10 1/2 oz.) de salsa de pollo&1 lata (10 1/2 oz.) de sopa de champiñones en crema&1 caja (6 oz.) de mezcla Stove Top para relleno&4 oz. de queso rallado,Hierve y deshuesa el pollo.&Corta en trozos del tamaño de un bocado en una fuente cuadrada de tamaño promedio.&Vierte la salsa de pollo y la sopa de champiñones sobre el pollo; nivela.&Prepara el relleno siguiendo las instrucciones de la caja (no lo hagas demasiado húmedo).&Coloca el relleno sobre el pollo y la salsa; nivela.&Espolvorea el queso rallado por encima y hornea a 350°F durante aproximadamente 20 minutos o hasta que esté dorado y burbujeante.,pollo&salsa de pollo&sopa de champiñones en crema&queso rallado,https://i.ytimg.com/vi/CZmDVL_q91s/maxresdefault.jpg
4,Tazas de Reese (caramelos),1 taza de mantequilla de cacahuate&3/4 de taza de migajas de galletas Graham&1 taza de mantequilla derretida&1 lb. (3 1/2 tazas) de azúcar glas&1 paquete grande de chispas de chocolate,Combina los primeros cuatro ingredientes y presiona en una fuente de 13 x 9 pulgadas sin engrasar.&Derrite las chispas de chocolate y extiéndelas sobre la mezcla. Refrigera durante unos 20 minutos y corta en trozos antes de que el chocolate se endurezca.&Mantén en el refrigerador.,mantequilla de cacahuate&migajas de galletas Graham&mantequilla&azúcar glas&chispas de chocolate,https://i.pinimg.com/564x/25/c9/ab/25c9ab62041f30b6561878f61a14dbd8.jpg
5,Sopa de papas con hamburguesa de queso,"6 papas para horno&1 lb. de carne de res magra extra, molida&2/3 de taza de mantequilla o margarina&6 tazas de leche&3/4 de cucharadita de sal&1/2 de cucharadita de pimienta&1 1/2 tazas (6 oz.) de queso Cheddar rallado, dividido&12 tiras de tocino en rodajas, cocido, desmenuzado y dividido&4 cebollas verdes picadas y divididas&1 cartón de 8 oz. de crema agria (opcional)","Lava las papas; pincha varias veces con un tenedor.&Cocínalas en el microondas con una toalla de papel húmeda cubriendo las papas a fuego alto durante 6-8 minutos.&Las papas deben estar suaves y listas para comer.&Déjalas enfriar lo suficiente para manejarlas.&Córtalas por la mitad a lo largo; saca la pulpa y reserva.&Desecha las cáscaras.&Dora la carne molida hasta que esté cocida.&Drena cualquier grasa de la carne.&Resérvala cuando esté lista.&La carne se agregará más tarde.&Derrite la mantequilla en una cacerola grande a fuego lento; agrega la harina, revolviendo hasta que esté suave.&Cocina 1 minuto, revolviendo constantemente. Agrega gradualmente la leche; cocina a fuego medio, revolviendo constantemente, hasta que esté espeso y burbujeante.&Añade la pulpa de las papas, la carne molida, la sal, la pimienta, 1 taza de queso, 2 cucharadas de cebolla verde y 1/2 taza de tocino.&Cocina hasta que esté caliente (sin hervir).&Añade crema agria si lo deseas; cocina hasta que esté caliente (sin hervir).&Espolvorea con el queso restante, el tocino y las cebollas verdes.",papas para horno&carne de res molida magra&mantequilla&leche&sal&pimienta&queso Cheddar&tocino&cebolla verde&crema agria,https://i.pinimg.com/564x/60/1a/88/601a8870099640a2f9299d0d73ecf346.jpg
6,Pastel de café de ruibarbo,"1 1/2 tazas de azúcar&1/2 taza de mantequilla&1 huevo&1 taza de suero de leche&2 tazas de harina&1/2 cucharadita de sal&1 cucharadita de bicarbonato de sodio&1 taza de suero de leche&2 tazas de ruibarbo, cortado finamente&1 cucharadita de vainilla","Mezcla el azúcar y la mantequilla.&Añade el huevo y bate bien.&Para la mantequilla, el azúcar y el huevo batidos, agrega alternativamente el suero de leche con la mezcla de harina, sal y bicarbonato de sodio.&Mezcla bien.&Añade el ruibarbo y la vainilla.&Vierte en una fuente de 9 x 13 pulgadas engrasada y agrega el relleno.",azúcar&mantequilla&huevo&suero de leche&harina&sal&bicarbonato de sodio&ruibarbo&vainilla,https://i.pinimg.com/564x/2e/54/5b/2e545bff0d66f0ef28433b5ff8235e3b.jpg
7,Maíz gratinado,"1 lata de maíz en crema&1 lata de maíz entero en grano&1/2 paquete (aproximadamente 20) de galletas saladas, trituradas&1 huevo batido&6 cucharaditas de mantequilla, dividida&pimienta al gusto","Mezcla ambas latas de maíz, las galletas trituradas, el huevo, 2 cucharaditas de mantequilla derretida y pimienta, y coloca en una fuente para horno engrasada.&Añade las 4 cucharaditas restantes de mantequilla por encima.&Hornea a 350°F durante 1 hora.",maíz en crema&maíz entero en grano&galletas saladas trituradas&huevo batido&mantequilla&pimienta,https://i.pinimg.com/564x/f3/8b/c6/f38bc6cc5a373ad977fe1417afa16456.jpg
8,Pechuga de pavo marinada de Nolan,"1 1/2 lb. de pechuga de res (de 1 pulgada de grosor), cortada en tiras&1 lata de tomates escurridos, cortados en trozos (guarda el líquido)&1 3/4 tazas de agua&1/2 taza de cebolla&1 1/2 cucharadas de salsa Worcestershire&2 pimientos verdes, picados&1/4 de taza de aceite","Rebana las tiras de res en harina.&Dora en una sartén.&Añade sal y pimienta.&Combina el líquido de tomate, el agua, la cebolla y la res dorada. Cubre y cocina a fuego lento durante una hora y cuarto.&Destapa y mezcla la salsa Worcestershire.&Añade tomates, pimientos verdes y cocina durante 5 minutos.&Sirve sobre arroz caliente.",tomates&agua&cebolla&salsa Worcestershire&pimientos verdes&aceite,https://i.pinimg.com/564x/39/16/a2/3916a2ea897c2ffc29a4acd1b7db3e64.jpg
9,Pastel millonario,1 gran recipiente de Cool Whip&1 lata grande de piña triturada&1 lata de leche condensada&3 limones&1 taza de nueces&2 cortezas de tarta de galleta Graham,"Vacía el Cool Whip en un tazón.&Escurre el jugo de la piña.&Mezcla el Cool Whip y la piña.&Añade la leche condensada.&Exprime los limones, quita las semillas y agrégales al Cool Whip y la piña.&Pica las nueces en trozos pequeños y agrégalas a la mezcla.&Revuelve todos los ingredientes y mezcla bien.&Vierte en una corteza de tarta de galleta Graham.&Utiliza la parte superior de la corteza para cubrir la parte superior de la tarta.&Refrigera durante la noche.&Hace 2 tartas.",piña&leche condensada&limones&nueces&cortezas de tarta de galleta Graham,https://i.pinimg.com/originals/6f/4e/6e/6f4e6e0bf8420052881e5509050644c2.jpg
10,Delicia de doble cereza,1 lata (17 oz.) de cerezas rojas sin hueso en almíbar&1/2 taza de ginger ale&1 paquete (6 oz.) de gelatina de cereza Jell-O&2 tazas de agua hirviendo&1/8 de cucharadita de extracto de almendra&1 taza de malvaviscos miniatura,"Escurre las cerezas, midiendo el almíbar.&Corta las cerezas por la mitad.&Añade ginger ale y suficiente agua al almíbar para hacer 1 1/2 tazas.&Disuelve la gelatina en el agua hirviendo.&Agrega el líquido medido y el extracto de almendra. Enfría hasta que esté muy espeso.&Incorpora los malvaviscos y las cerezas. Vierte en un molde de 6 tazas.&Enfría hasta que esté firme, al menos 4 horas o durante la noche.&Desmolda.&Rinde aproximadamente 5 1/3 tazas.",cerezas rojas sin hueso en almíbar&ginger ale&gelatina de cereza&agua hirviendo&extracto de almendra&malvaviscos,https://i.pinimg.com/474x/f7/4a/89/f74a89e2ccf82e2a6f8326b46f8ce214.jpg
11,Caramelo Buckeye,1 caja de azúcar glas&8 oz. de mantequilla suave&1 (8 oz.) de mantequilla de cacahuate&parafina&12 oz. de chispas de chocolate,"Mezcla el azúcar, la mantequilla y la mantequilla de cacahuate.&Haz bolitas y colócalas en una bandeja de galletas.&Colócalas en el congelador durante al menos 30 minutos. Derrite las chispas de chocolate y la parafina en una caldera doble.&Usando un palillo de dientes, sumerge las bolitas 3/4 de la manera en la mezcla de chispas de chocolate y parafina para que parezcan Buckeyes.",azúcar glas&mantequilla&mantequilla de cacahuate&parafina&chispas de chocolate,https://i.pinimg.com/474x/da/88/5f/da885f8d3a0d0390d3b508a976d86333.jpg
12,Alitas de pollo a la barbacoa rápida,alitas de pollo (las que necesites para la cena)&harina&salsa barbacoa (la que prefieras),Limpia las alitas de pollo.&Enharínalas y fríelas hasta que estén doradas.&Coloca las alitas de pollo fritas en un recipiente para microondas.&Añade la salsa barbacoa.&Calienta en el microondas a alta potencia (remueve una vez) durante 4 minutos.,alitas de pollo&harina&salsa barbacoa,https://i.pinimg.com/474x/d5/0b/e0/d50be062e99f2bd2120ac00da2ef5446.jpg
13,Taco Dip de Ensalada,8 oz. de salsa de taco Ortega&8 oz. de crema agria&8 oz. de queso crema&1 lb. de carne molida&1 paquete de condimento para taco&lechuga rallada&1 tomate grande cortado en cubos&1 cebolla mediana picada en cubos&1 pimiento verde grande picado en cubos&queso Cheddar o Colby rallado,"Mezcla la salsa de taco, la crema agria y el queso crema.&Extiende en una bandeja de pizza.&Dora la carne.&Escurre la grasa y agrega el condimento para taco.&Extiende sobre la mezcla de crema.&Añade las verduras crudas.&Espolvorea con queso. Sirve con nachos.",salsa de taco&crema agria&queso crema&carne molida&condimento para taco&lechuga rallada&tomate&cebolla&pimiento verde&queso Cheddar o Colby,https://i.pinimg.com/736x/38/aa/60/38aa60fae4d35268373171dc58d5f57c.jpg
14,Postre congelado Pink Stuff,"1 lata de relleno de tarta (cereza o fresa)&1 lata de piña triturada, escurrida&1 lata de leche condensada azucarada&1 recipiente grande de crema batida descongelada&2 cucharadas de jugo de limón",Mezcla todos los ingredientes.&Vierte en una fuente de 9 x 13 pulgadas. Congela hasta que esté firme.&Permite que se descongele durante aproximadamente 15 minutos antes de servir.,relleno de tarta&piña&leche condensada&jugo de limón,https://i.pinimg.com/474x/9b/06/9a/9b069a42a4681311984df3ca46e80091.jpg
15,Pastel de fresas frescas,1 corteza de pastel horneada&1 qt. de fresas limpias&1 1/2 tazas de agua&4 cucharadas de maicena&1 taza de azúcar&1/8 de cucharadita de sal&4 cucharadas de gelatina de fresa,"Mezcla el agua, la maicena, el azúcar y la sal en una cacerola.&Revuelve constantemente y hierve hasta que esté espeso y transparente.&Retira del fuego y añade la gelatina.&Deja a un lado para que se enfríe.&Pero no permitas que se endurezca. Coloca las fresas en la corteza horneada.&Vierte la gelatina enfriada por encima. Continúa colocando las fresas y la gelatina.&Refrigera.&Sirve con crema batida.",corteza de pastel&fresas limpias&agua&maicena&azúcar&sal&gelatina de fresa,https://i.pinimg.com/736x/55/92/00/5592009c521fc30f2ae60f7115f53779.jpg
